top,heart,base,perfume_id
,,,26120358
,,,26120359
,,,26120360
"[96, 515]",[481],"[649, 924]",26120361
,,,26120362
"[96, 227]",,[28],26120363
,,,26120364
"[227, 7, 624, 903]",,,26120365
"[96, 515, 846]","[692, 924, 224, 372]","[513, 649, 498, 624, 652]",26120366
"[96, 481, 562, 604, 512, 624]","[555, 694, 624]","[808, 659, 908, 624]",26120367
"[96, 515, 562, 680, 178]","[473, 927, 785, 529, 358, 669, 646]","[398, 649, 193, 808, 646, 624, 26]",26120368
"[96, 178, 680]","[473, 927, 785, 646]","[624, 26]",26120369
"[96, 512, 515, 593, 512]","[672, 290, 480, 785, 180]","[193, 692, 624, 513, 649, 26]",26120370
"[512, 906]","[802, 259, 178, 290]","[193, 414, 624, 26]",26120371
,,,26120372
,,,26120373
,,,26120374
,,,26120375
"[96, 723, 593]","[224, 259, 512]","[649, 26]",26120376
,,,26120377
[624],,,26120378
,,,26120379
"[562, 515, 661, 96]","[552, 376, 372]","[924, 692, 649, 624]",26120380
"[562, 639, 96]","[896, 259, 708]","[924, 692, 26, 920, 624]",26120381
"[96, 639, 715, 661, 624]",,,26120382
"[96, 515]",[292],"[920, 193, 692]",26120383
"[472, 692, 193, 42, 924, 555, 26, 498, 12, 282, 153]",,,26120384
"[96, 661, 562]","[555, 358]","[455, 7]",26120385
"[259, 224, 863, 193, 708, 808, 785, 433]",,,26120386
"[739, 708, 259, 178, 529, 785, 224, 237, 646, 920, 863, 26, 193, 924]",,,26120387
"[920, 512, 808, 624]",,,26120388
"[372, 604, 96, 562, 398]",,,26120389
"[96, 178, 480, 660]","[473, 646, 344, 928]","[193, 26, 624, 908]",26120390
"[519, 96, 515]","[229, 15, 708]","[193, 924]",26120391
"[96, 515, 802]",[512],"[193, 692]",26120392
,,,26120393
,,,26120394
,,,26120395
"[802, 512]","[178, 259, 646, 708]","[187, 924, 692, 808]",26120396
"[96, 883, 660]","[708, 259, 178]","[808, 26, 646, 624]",26120397
"[512, 259, 604, 793, 661]","[473, 649, 372, 808]","[26, 624, 808, 193]",26120398
,,,26120399
,,,26120400
[96],"[480, 259, 646, 480]","[649, 692]",26120401
"[96, 229]","[573, 473]","[624, 808, 924]",26120402
,,,26120403
[395],[846],"[649, 652, 26]",26120404
,,,26120405
"[96, 60, 515, 82]","[473, 692, 924]","[649, 513, 26]",26120406
"[512, 96, 229]","[372, 692, 193]","[649, 26, 513, 624, 908]",26120407
"[237, 376, 472, 101, 473, 808]",,,26120408
"[562, 515, 715]","[229, 512, 646]","[924, 692]",26120409
,,,26120410
"[259, 939, 646]","[888, 372, 808]","[900, 28, 920]",26120411
"[512, 372]","[455, 341]","[808, 193, 692]",26120412
"[515, 660, 512]",,,26120413
"[515, 82, 793, 802]","[512, 193, 808]","[900, 513, 246]",26120414
,,,26120415
"[96, 512]","[924, 473]","[193, 808]",26120416
,,,26120417
"[661, 646, 282, 237, 473, 26, 627, 863, 472, 224, 7, 193, 228, 624]",,,26120418
"[593, 388, 96, 193]","[785, 372, 513]","[246, 808, 28, 692, 649]",26120419
"[604, 259, 96, 388]","[512, 224, 646]","[28, 624, 193]",26120420
,"[96, 178]","[808, 708, 26, 924]",26120421
[455],,,26120422
"[152, 96]",,"[649, 808]",26120423
,,,26120424
"[473, 785, 562]","[372, 785]","[624, 808]",26120425
[96],"[896, 82, 708, 793]","[890, 924, 920, 624]",26120426
,,,26120427
"[12, 562, 82, 96, 354, 395]","[661, 785, 913, 473, 527, 529, 630, 461]","[26, 627, 808, 920, 624]",26120428
"[96, 940, 694]","[785, 290, 777]","[26, 765, 808]",26120429
