top,heart,base,perfume_id
"[515, 639, 562, 715]","[512, 793, 259, 372]","[924, 692, 649]",26120540
"[512, 96, 692, 228, 28, 624]",,,26120541
"[660, 515, 96]","[896, 259, 576]","[193, 808, 692, 649]",26120542
"[96, 101, 708, 661]","[473, 785, 259, 178, 398]",,26120543
,,,26120544
[785],,,26120545
"[12, 639, 562, 96, 497, 765, 723, 292, 725]","[473, 785, 529, 461, 966, 661, 525, 237]","[692, 924, 193, 649, 624, 920]",26120546
"[515, 96, 282, 793]","[715, 473, 692, 180, 82, 259, 669]","[924, 808, 649, 26, 624]",26120547
"[227, 515, 354, 82, 604]","[461, 785, 259]","[692, 26, 624]",26120548
"[512, 793]",,[193],26120549
"[96, 60, 82, 480]","[692, 785, 372, 224]","[513, 649, 26, 498, 652]",26120550
"[96, 639, 519, 515, 660]",[512],"[193, 908]",26120551
"[96, 515, 660, 793, 715]","[512, 785]","[903, 624]",26120552
"[660, 96, 515, 178, 259, 785]","[473, 224, 646, 692, 193]","[808, 26, 920, 624]",26120553
[785],"[259, 785]","[808, 920, 33]",26120554
"[96, 515, 512, 896, 336]","[646, 473, 237, 480]","[808, 193, 649, 26, 624]",26120555
"[883, 96, 732]","[480, 886, 896, 732]","[808, 649, 193]",26120556
"[512, 480]",[282],"[966, 808, 26]",26120557
,,,26120558
[388],[193],"[808, 649, 924, 913]",26120559
"[971, 802, 178]",[924],"[193, 808, 624]",26120560
"[96, 515, 883]","[896, 793, 178]",[624],26120561
"[793, 481, 472]",,,26120562
"[660, 376, 96, 672]","[512, 224]","[808, 624, 193, 692, 924, 649]",26120563
"[512, 562, 515]","[178, 237, 82]","[649, 808]",26120564
"[372, 512]",[236],"[692, 808, 649]",26120565
"[515, 660, 96]","[785, 512, 793]",[624],26120566
"[96, 229, 639]","[336, 372, 793]","[808, 908, 624]",26120567
"[512, 96, 793]","[229, 785]","[908, 624, 649]",26120568
"[96, 515, 715, 660, 512, 793]","[785, 669, 433, 341]","[193, 513, 903, 924, 624]",26120569
,,,26120570
[512],,"[513, 193]",26120571
,,,26120572
"[659, 472, 692, 26, 624, 193, 178, 44, 376, 646]",,,26120573
"[96, 512]",[237],,26120574
"[372, 562]","[512, 604]",[808],26120575
,,,26120576
"[785, 96, 529]","[180, 473, 246]","[903, 924, 692]",26120577
[96],"[552, 178]","[924, 820, 624]",26120578
[96],[178],"[624, 26, 924]",26120579
,,,26120580
"[96, 515, 660, 927, 282, 82, 793, 593]","[290, 473, 376, 259, 708]","[193, 808, 649, 26, 624]",26120581
[341],,,26120582
,,,26120583
"[96, 512, 515, 250, 530, 562]","[178, 802, 481, 896, 708]","[692, 808, 920, 624]",26120584
,,,26120585
"[98, 388, 96, 480, 336]","[229, 292, 793]","[692, 924, 808, 649]",26120586
"[227, 96, 886, 366, 512, 481]","[82, 372, 473, 529, 646, 229, 639, 246, 785]","[26, 649, 513, 692, 808, 347, 908, 924, 624]",26120587
,,,26120588
,,,26120589
"[96, 562, 604, 906, 303, 12, 178]","[237, 966, 473, 437]","[924, 193, 808, 692, 765, 624, 28, 649]",26120590
"[562, 512]","[473, 82, 372, 802]","[808, 924, 785, 26]",26120591
"[96, 515, 639, 576, 366, 639]","[924, 473, 372, 692, 669]","[649, 26, 903, 920, 513]",26120592
"[512, 229, 96, 515]","[372, 924, 421, 341, 669, 193, 785]","[624, 649, 920, 908, 498]",26120593
"[96, 660, 515, 715, 793]","[785, 661]","[808, 649]",26120594
"[259, 178, 785]","[473, 785, 372, 193, 808]","[920, 624]",26120595
"[444, 529, 473, 224, 437]",,,26120596
"[96, 515, 512, 785, 896]","[669, 372, 785, 694, 347]","[193, 920, 692, 26, 624]",26120597
"[96, 515, 82, 229]","[180, 785, 193, 372, 224]","[649, 903, 26, 624]",26120598
,,,26120599
,,,26120600
,,,26120601
,,,26120602
"[82, 96, 372, 515]","[237, 512, 224]","[26, 624, 808, 193]",26120603
"[530, 515, 715]",[639],,26120604
,,,26120605
"[708, 96, 604, 785, 481, 646, 259]",[292],"[808, 472, 331]",26120606
[573],,"[193, 808]",26120607
"[940, 473, 883]","[573, 785, 372, 661]","[26, 624, 920, 808, 193]",26120608
"[562, 661]","[473, 372, 785]","[808, 624, 26]",26120609
"[96, 515, 512, 927, 437, 552, 201]","[473, 529, 193, 808]","[26, 692, 513, 903, 624, 863]",26120610
"[530, 96, 515, 562, 512]","[82, 372, 246, 180]","[193, 649, 26, 903, 513, 920]",26120611
"[96, 344, 259]","[473, 372]","[808, 193]",26120612
"[96, 388, 765, 785, 927, 908, 193, 26, 692, 472]",,,26120613
"[96, 512, 886, 354, 395]","[372, 765, 461, 473, 290]","[26, 649, 624, 692, 808, 900, 908]",26120614
"[515, 96, 512]","[224, 180, 290]","[692, 513, 924, 193, 624]",26120615
"[660, 96, 519, 715, 366]","[473, 372, 669, 646]","[193, 808, 649, 920, 624]",26120616
"[530, 96, 770, 732]","[473, 785, 224, 178]","[193, 920, 26]",26120617
,,,26120618
"[96, 515, 562]","[473, 512, 178, 341, 480, 715, 669]","[193, 924, 624, 513, 347, 649]",26120619
,,,26120621
"[562, 201, 82]","[771, 646, 473, 785, 785]","[808, 624]",26120622
,,,26120623
,,,26120624
,,,26120625
"[661, 473, 785, 785, 282, 646]",,,26120626
"[96, 920]",[26],"[924, 908]",26120627
"[515, 512]","[224, 692]","[26, 920, 924]",26120628
"[358, 555]","[900, 26]","[692, 649, 924, 87]",26120629
"[604, 12, 96, 672]","[225, 708, 473, 237]","[193, 624]",26120630
,,,26120631
,,,26120632
"[512, 96, 229, 715]","[372, 421, 785, 664, 180]","[649, 903, 624, 920, 414]",26120633
"[515, 883, 44, 692]",,,26120634
"[515, 388, 765]","[622, 473]","[624, 808]",26120635
,,,26120636
"[515, 660, 82, 229]","[627, 201]","[652, 512, 193, 808]",26120637
"[512, 802, 785, 96]","[785, 372, 193, 692, 473]","[26, 920, 908]",26120638
,,,26120639
"[515, 388, 883, 281]","[708, 224, 802]","[808, 649]",26120640
,,,26120641
"[60, 82, 515, 96, 259]","[180, 461, 473, 177, 785]","[26, 245, 513, 692, 624]",26120642
,,,26120643
,,,26120644
"[96, 224, 708]","[512, 646, 802, 793]",[624],26120645
,,,26120646
"[864, 24]","[227, 669]","[808, 692, 26, 624]",26120647
"[96, 660, 785, 395]","[646, 473, 785]","[193, 808, 649, 26, 624]",26120648
,,,26120649
"[672, 227]",,,26120650
"[512, 60, 259, 96]","[473, 372, 785, 224]","[228, 26, 924, 692]",26120651
"[515, 562, 96, 512, 639, 785]",,,26120652
"[237, 908, 513, 649, 7]",,,26120653
"[96, 512, 515, 639, 229]","[372, 652, 42, 785, 669, 224]","[513, 649, 624, 924, 692]",26120654
"[102, 694, 224]","[343, 372, 692, 347]","[26, 808, 908, 920]",26120655
"[96, 639, 227, 854]","[229, 259, 785, 708]","[808, 624]",26120656
[646],[793],[193],26120657
,,,26120658
,,,26120659
,,,26120660
"[510, 515, 480, 60, 96]","[692, 473, 246, 366, 924, 180]","[624, 513, 191, 627, 224, 652, 649]",26120661
,,,26120662
"[96, 515, 82]","[785, 669, 433, 473]","[193, 692, 900, 903, 26, 649, 224]",26120663
"[512, 96, 515, 82, 896]","[372, 180, 193, 692]","[920, 26, 513, 649, 624]",26120664
[927],[576],[193],26120665
[96],[785],"[26, 624]",26120666
,,,26120667
"[96, 883, 530, 785]","[372, 708, 646]","[649, 808]",26120668
,[708],[319],26120669
"[515, 96, 480]","[512, 802, 793]","[808, 624]",26120670
"[82, 96, 259, 660, 715, 515]","[180, 473, 529, 354, 692, 785]","[26, 808, 649, 908, 924, 624]",26120671
"[227, 519]","[473, 896]",[513],26120672
"[96, 515, 519]","[228, 966]","[924, 903, 82]",26120673
"[96, 515, 646, 237, 708, 481, 896, 512, 604]","[793, 455]","[26, 808, 692]",26120674
"[96, 562, 515, 366]","[519, 180, 414, 473]","[649, 513, 624, 193, 903]",26120675
,,,26120676
"[96, 883, 395]","[927, 473, 290, 372]","[193, 808, 908, 692, 26, 624]",26120677
"[512, 562, 366, 515]","[180, 785, 473, 966, 529]","[808, 692, 649, 924]",26120678
"[96, 515, 512, 715, 229]","[180, 372, 246, 193, 473, 785, 224]","[649, 26, 624, 652, 903]",26120679
"[660, 515, 96, 670]","[785, 473, 646, 178]","[624, 692, 808]",26120680
"[45, 96, 82]","[372, 224, 802]",,26120681
,,,26120682
,,,26120683
,,,26120684
"[96, 515, 481]","[461, 366, 661, 785, 473]","[924, 649, 624]",26120685
,,,26120686
,,,26120687
,,,26120688
"[660, 180, 224]","[692, 26, 920]","[433, 649]",26120689
"[886, 224]","[692, 924]",[228],26120690
"[60, 96, 259, 282, 515]","[180, 347, 372, 473, 785, 896]","[193, 498, 808, 513, 624, 692, 924]",26120691
,,,26120692
,,,26120693
,,,26120694
"[96, 292]","[692, 372]","[649, 808]",26120695
"[82, 793, 530, 96, 515]","[461, 473, 785, 372, 341, 646, 237, 649]","[692, 193, 26]",26120696
,,,26120697
[96],[639],[624],26120698
,,,26120699
"[388, 102, 96, 512]","[555, 372, 927]","[808, 26]",26120700
[180],,,26120701
"[227, 515, 366]","[886, 512]",[472],26120702
,,,26120703
"[515, 604]","[628, 512]","[347, 924, 624, 808]",26120704
,,,26120705
,,,26120706
,,,26120707
,,,26120708
,,,26120709
,,,26120710
,,,26120711
"[96, 515, 562, 82, 366, 395]","[180, 341, 372, 193]","[649, 513, 498, 224]",26120712
"[237, 939, 802]","[358, 530]",[513],26120713
"[96, 512, 515, 660]","[229, 473, 372, 896, 480]","[924, 692, 513, 920]",26120714
"[480, 512, 60, 604, 723, 366]",,,26120715
"[515, 519]","[461, 928]","[808, 28]",26120716
"[96, 388, 604]",[193],"[808, 649]",26120717
,,,26120718
,,,26120719
"[562, 96]","[376, 102]","[28, 624]",26120720
"[96, 715, 515, 660, 604]","[512, 785, 82, 229]","[908, 624]",26120721
"[60, 802, 896, 512, 808, 924, 26]",,,26120722
"[604, 82, 178, 660, 562, 515, 388]","[601, 574, 646, 708]","[808, 863, 924]",26120723
,,,26120724
"[512, 96]","[180, 224]","[649, 903, 26]",26120725
"[512, 96]","[372, 229, 692]","[649, 26, 624, 513]",26120726
"[96, 512, 515, 82]","[692, 193, 669, 785, 180]","[649, 920, 908, 513, 498]",26120727
"[927, 515, 660, 96, 715, 366]","[229, 785, 372, 341]","[649, 808, 193, 903, 624]",26120728
"[793, 259, 512, 44, 96]","[180, 802, 372]","[908, 26, 624, 193, 808]",26120729
,,,26120730
,,,26120731
,,,26120732
"[229, 512, 515, 660]",[237],"[924, 692, 193]",26120733
"[388, 604, 178, 193, 562]",,,26120734
,,,26120735
"[515, 512, 102, 395]","[461, 473, 529, 785]","[649, 920, 908, 193, 216, 26]",26120736
"[96, 515, 785, 82]","[180, 692, 193, 785, 224]","[920, 26, 649, 513, 498, 652]",26120737
"[512, 96, 515, 793]","[372, 341, 180, 224, 193, 421]","[649, 920, 908, 26, 624]",26120738
,,,26120739
"[96, 512, 649]",,,26120740
"[395, 96, 82, 515, 562, 366]","[246, 512, 480, 473, 180]","[649, 193, 624, 26, 920, 903]",26120741
"[96, 229, 515, 512]","[896, 246, 372, 180]","[513, 193, 649, 26, 624]",26120742
"[96, 82, 60]","[669, 259, 692, 652, 924, 473, 785]","[26, 513, 624, 903, 191]",26120743
,,,26120744
"[96, 515, 82, 292, 367]","[924, 473, 692, 259, 193, 224, 372]","[26, 513, 652, 649, 624, 903]",26120745
"[512, 96]","[785, 193, 669, 473]","[26, 624, 808]",26120746
,,,26120747
"[483, 562, 971]",[395],[193],26120748
,,,26120749
"[96, 395, 60]","[692, 180, 372, 924, 193, 785, 473]","[513, 649, 624, 652, 191]",26120750
"[96, 515, 530]","[896, 473, 785, 708]","[193, 649, 692]",26120751
"[715, 512, 82, 96, 515, 530]","[708, 180, 669]","[193, 649, 624, 903]",26120752
"[96, 512, 793, 515]","[473, 82, 246, 259]","[649, 193, 26, 624, 692, 513]",26120753
"[259, 44, 99, 481, 883, 388, 660]","[83, 282, 708, 473, 444]","[900, 692, 193, 498, 908, 920]",26120754
,,,26120755
,,,26120756
,,,26120757
"[96, 515, 785, 512]","[473, 290]","[624, 26, 193, 903]",26120758
,,,26120759
"[793, 512]","[473, 421, 529, 785]","[808, 692, 624, 193]",26120760
,,,26120761
"[512, 96, 44, 793, 886]","[372, 341, 180, 473]","[193, 26, 624, 649, 903]",26120762
"[82, 282, 96, 512]","[347, 473, 480, 896, 372, 785, 180]","[513, 692, 649, 26, 652, 624]",26120763
"[96, 515, 512, 366]","[229, 785, 341, 372, 669, 290]","[924, 193, 692, 26, 624, 649]",26120764
,,,26120765
,,,26120766
,,,26120767
"[96, 515, 562]","[480, 372, 512]","[193, 624, 649]",26120768
"[395, 353]",,,26120769
,,,26120770
,,,26120771
"[515, 512, 96]","[259, 725]","[692, 920]",26120772
"[227, 512, 395, 96, 455, 920, 624]",,,26120773
"[341, 237, 512]","[26, 900, 372]","[808, 193, 624]",26120774
,,,26120775
"[96, 562, 178]","[785, 473]","[808, 28]",26120776
"[497, 388, 883, 604]","[82, 372]","[692, 808, 193, 649]",26120777
"[227, 82, 698]","[846, 292, 785]",[624],26120778
"[96, 44]",,,26120779
"[660, 512, 82, 515]","[372, 785, 692, 193]","[920, 908, 498]",26120780
"[96, 515, 259, 82]","[896, 785, 669, 292, 372, 180, 178]","[652, 863, 624, 649, 692, 513, 26]",26120781
"[512, 515, 896]","[785, 372]","[808, 924, 26, 193]",26120782
"[515, 660, 96, 395]","[793, 180, 513, 512, 802]","[193, 900, 26, 808, 624, 692]",26120783
,,,26120784
,,,26120785
"[96, 515, 530, 395, 366]","[481, 473]",[649],26120786
"[723, 108, 928]",[639],"[183, 808, 692]",26120787
"[281, 562, 96]","[913, 649, 229, 924]",[28],26120788
"[227, 82]","[498, 778, 473, 512]","[513, 649]",26120789
"[96, 281]","[465, 604]","[802, 649, 808]",26120790
,,,26120791
"[388, 562, 604]","[896, 708]","[808, 692, 649]",26120792
"[515, 96, 562, 785]","[473, 461, 51]","[808, 193, 649, 26, 920, 624]",26120793
,,,26120794
,,,26120795
"[388, 45, 896, 82, 193, 796]","[473, 802, 237, 512, 193]","[649, 808, 924, 864]",26120796
,"[292, 802]","[652, 692, 864]",26120797
,,,26120798
"[793, 604, 515, 660]",,,26120799
"[96, 515, 793, 512]","[82, 480, 246, 178]","[692, 649, 513, 26, 347, 193]",26120800
,,,26120801
,,,26120802
"[227, 259, 793, 395, 512]","[180, 372, 229, 246, 347, 896]","[808, 908, 649, 193, 26]",26120803
"[96, 515, 639]","[372, 473, 229]","[624, 808, 26, 924]",26120804
"[971, 515]","[372, 473, 512, 896, 886]","[692, 808, 530, 924]",26120805
"[96, 562, 515, 98, 82, 639]","[481, 259, 785, 473, 178]","[692, 193, 808, 624, 26]",26120806
,,,26120807
"[98, 604, 96, 481, 708]","[344, 473]","[26, 624, 924, 193, 692, 808]",26120808
"[512, 96, 515]","[372, 341, 193, 692]","[920, 649, 624, 903, 26]",26120809
"[604, 512, 227]","[793, 646, 237, 924]","[692, 624]",26120810
,,,26120811
,,,26120812
,,,26120813
,,,26120814
,,,26120815
,,,26120816
,"[344, 715]","[398, 624, 573]",26120817
,,,26120818
,,,26120819
,,,26120820
,,,26120821
,,,26120822
,,,26120823
,,,26120824
,,,26120825
,,,26120826
,,,26120827
,,,26120828
,,,26120829
,,,26120830
,,,26120831
,,,26120832
,,,26120833
"[660, 96, 388, 684, 480, 461]","[708, 525, 282, 646, 237, 331]","[26, 624, 808, 649]",26120834
"[515, 96, 639, 573]","[529, 372]","[237, 646, 808, 649, 624]",26120835
,,,26120836
"[102, 562, 82]","[555, 529, 461]",,26120837
[366],[178],"[193, 924, 900]",26120838
"[96, 793, 515, 82]","[473, 246, 715, 259]","[193, 649, 692, 624, 903]",26120839
,,,26120840
,,,26120841
,,,26120842
,,,26120843
,,,26120844
"[372, 465, 928]","[646, 707, 437, 966]","[808, 624, 26]",26120845
,,,26120846
"[376, 178]","[785, 193, 924, 692, 808]","[624, 26, 513]",26120847
"[515, 96]","[461, 920, 473]","[624, 924, 649]",26120848
"[366, 193, 808, 237, 924, 498, 624, 472, 27]",,,26120849
"[12, 512, 515, 96, 708]","[180, 785, 372, 246, 290, 433]","[692, 193, 903, 26, 624, 513, 920]",26120850
"[562, 660]","[292, 26]",[26],26120851
"[96, 292, 802]","[512, 178]","[193, 692]",26120852
"[366, 512, 178]","[785, 372, 224, 237, 282]",[649],26120853
,,,26120854
"[388, 883, 660, 367, 96]","[646, 237]","[26, 900, 513, 808, 246, 193, 692]",26120855
"[96, 562]",[692],"[908, 624, 26, 808]",26120856
"[96, 366, 388]","[237, 646, 177, 512]","[808, 193, 649]",26120857
"[421, 96]","[26, 920, 224, 646]","[237, 908]",26120858
"[388, 562, 96, 303]","[178, 785]","[808, 472]",26120859
"[96, 512]","[372, 785, 473, 966]","[624, 649, 26]",26120860
"[515, 388]",[512],"[187, 924]",26120861
"[60, 512, 96]","[646, 372, 180, 224]","[808, 193, 513, 26, 649]",26120862
"[96, 604]","[372, 45]",[808],26120863
,,,26120864
,,,26120865
"[96, 515]","[793, 639, 715]","[193, 924, 624, 27]",26120866
"[96, 515, 512, 802]","[473, 224]","[649, 80]",26120867
,,,26120868
"[96, 515, 660]","[180, 224, 347, 785]","[498, 920, 692, 808]",26120869
"[515, 562, 96]","[512, 793, 82, 669, 473, 692, 785, 924, 224]","[513, 26, 920, 808, 228, 908, 472, 785]",26120870
"[96, 512, 259, 793, 60]","[896, 785, 180, 480]","[193, 692, 624, 649, 808, 652]",26120871
"[82, 229, 515]","[180, 372, 224, 692]","[191, 649, 193, 646, 498]",26120872
"[461, 191, 649]",,,26120873
,,,26120874
"[96, 530, 473, 372, 26, 966, 808, 624]",,,26120875
,,,26120876
"[227, 96]",[512],"[627, 624, 455, 7, 649]",26120877
,,,26120878
,,,26120879
,,,26120880
"[96, 224]","[661, 473, 437]","[808, 924, 692, 26, 908, 624, 920]",26120881
"[562, 96, 101, 802]","[708, 473, 178]","[187, 808]",26120882
,,,26120883
,,,26120884
,,,26120885
,"[193, 692]","[26, 649, 624]",26120886
"[96, 345, 888]","[785, 908, 473, 372]","[7, 624, 26]",26120887
"[345, 96, 515, 888]","[473, 903, 372]","[624, 26]",26120888
"[96, 512, 82]","[785, 224, 808, 924, 692, 372]","[513, 649, 191, 920, 624, 908]",26120889
"[530, 708, 180, 515]","[26, 512]","[7, 624]",26120890
"[395, 512]","[178, 802]","[649, 692, 900]",26120891
"[227, 237, 604, 896, 372, 593, 45]",,,26120892
,,,26120893
"[366, 60, 96, 395, 512, 282]","[473, 290, 180, 785, 708, 193, 808, 82]","[649, 908, 652, 624, 26, 347, 191]",26120894
,[646],"[193, 193, 403]",26120895
,,,26120896
,,,26120897
,,,26120898
,,,26120899
,,,26120900
,,,26120901
,,,26120902
,,,26120903
"[660, 512]",[246],"[692, 331]",26120904
,,,26120905
"[672, 395, 96]","[646, 237, 802, 372]","[649, 924, 692, 808, 785, 624, 461, 193]",26120906
"[96, 388, 530, 292, 512, 259]",[732],"[26, 649, 624, 652]",26120907
"[60, 480, 96, 515, 512]","[372, 82, 246, 473, 180]","[649, 193, 624, 513, 692]",26120908
,,,26120909
,,,26120910
,,,26120911
,,,26120912
,,,26120913
"[96, 515, 660, 715, 793]","[372, 193, 785, 669, 180, 224, 808]","[513, 624, 649, 26, 920]",26120914
"[366, 395, 96, 515, 715]","[927, 473, 180, 669, 785]","[808, 193, 624, 903, 649, 26]",26120915
"[96, 515, 639, 715, 660]","[785, 793, 180]",[624],26120916
"[259, 96, 60, 229]","[237, 473, 372, 461, 180, 224]","[472, 28, 649, 692, 924, 433, 513, 624, 903, 228]",26120917
[96],"[661, 723]","[26, 692, 924]",26120918
"[562, 12, 60, 515, 82]","[808, 290, 193, 180, 473, 372]","[692, 624, 924, 649, 513]",26120919
,,,26120920
,,,26120921
"[96, 660]","[497, 883, 723]","[708, 624]",26120922
,,,26120923
,,,26120924
,,,26120925
"[661, 562, 604]","[193, 924, 193]",[624],26120926
"[971, 292, 259, 562, 229, 519]","[646, 800, 224]","[900, 26, 624, 808, 924, 293]",26120927
"[388, 971, 660]","[178, 259]",[708],26120928
"[82, 515, 519]",,,26120929
"[515, 883]","[372, 512]","[193, 692, 924, 649]",26120930
[971],,"[708, 624]",26120931
,,,26120932
"[660, 96, 193]","[98, 649, 178]","[924, 785, 649]",26120933
"[376, 224, 388, 193, 924, 692]",,,26120934
"[515, 96]","[26, 802, 808]","[193, 403, 920]",26120935
"[96, 178, 793]","[473, 646, 403]","[624, 26, 808, 193]",26120936
,,,26120937
,"[180, 785, 574]","[692, 193, 808, 472, 26]",26120938
"[562, 96, 512]","[193, 846, 353, 372]","[26, 7, 808, 692, 920, 900]",26120939
"[562, 455, 627, 545, 808, 433, 473, 26, 624]",,,26120940
"[227, 512, 229]","[473, 82, 366, 180, 372]","[26, 808, 649, 908, 924, 624]",26120941
"[512, 698, 388]","[708, 259, 376]",[649],26120942
"[512, 227, 604, 82]","[473, 785, 372, 259, 180, 347, 229]","[513, 808, 908, 26, 692, 624, 649]",26120943
"[12, 96, 646, 660]","[193, 886, 473, 461, 692, 785, 808, 900]","[26, 649, 647, 659, 908, 920]",26120944
"[971, 512]","[193, 224]","[924, 26]",26120945
"[883, 530, 96]","[808, 193, 473]","[229, 920, 908, 624]",26120946
,,,26120947
"[562, 388, 512, 793]","[473, 461, 193]","[26, 692, 808, 649, 920, 624]",26120948
"[515, 562, 96, 366]","[180, 193, 785, 473, 639]","[649, 624, 903, 26, 498]",26120949
"[512, 715, 96, 515, 793]","[924, 372, 180, 692]","[193, 649, 513, 624, 347, 26, 692]",26120950
,,,26120951
,,,26120952
,,,26120953
,,,26120954
,,,26120955
[227],,[26],26120956
"[96, 562, 639, 515]","[512, 180, 178, 604, 708, 802]","[624, 808]",26120957
"[96, 562, 639]","[512, 604, 802, 708, 178]","[808, 26, 920]",26120958
"[515, 723]","[433, 785, 473]","[808, 692]",26120959
"[96, 886, 259]","[646, 692]","[649, 30]",26120960
"[480, 229, 44, 366, 395]","[473, 180, 341, 785]","[193, 26, 692, 920, 624, 649]",26120961
"[529, 604, 904]",,,26120962
,,,26120963
"[512, 96, 793, 229]","[715, 785, 414, 372, 785]","[908, 649, 624, 193]",26120964
"[96, 388]","[512, 82]","[692, 624]",26120965
,,,26120966
[512],,,26120967
,,,26120968
"[353, 512]",,,26120969
"[512, 793, 44, 96]","[372, 473, 785, 341, 180]","[26, 624, 649, 193, 692, 903, 920]",26120970
"[944, 796, 694, 723, 732]","[376, 646, 224, 237]","[808, 692, 908, 713, 900, 624, 904]",26120971
"[604, 178, 96]","[512, 661, 224, 282]","[808, 920, 193, 908, 26]",26120972
,,,26120973
"[96, 780, 224, 785, 473, 920, 808, 908, 26]",,,26120974
,,,26120975
,,,26120976
"[96, 604]","[292, 193]","[692, 808]",26120977
,,,26120978
,,,26120979
,,,26120980
"[96, 512, 481]","[793, 246, 472]","[660, 366, 649]",26120981
"[96, 515, 660]","[512, 793]","[808, 924]",26120982
"[96, 515, 660, 732, 512, 562]","[237, 60, 259, 473]","[692, 924, 649]",26120983
"[96, 512, 576, 715, 896, 82]","[60, 180, 183, 193, 224, 473, 461, 692, 924]","[26, 191, 498, 513, 649, 624]",26120984
"[604, 388, 45]","[802, 224]","[692, 808]",26120985
"[96, 178, 646]","[473, 661, 224]","[193, 808, 624, 26, 920]",26120986
,,,26120987
,,,26120988
"[940, 281]",,[649],26120989
,,,26120990
,,,26120991
,"[698, 473]","[808, 785, 33]",26120992
,,,26120993
"[562, 723, 927, 358, 193]",,,26120994
,,,26120995
"[971, 530, 388, 96, 82, 802]","[178, 376]","[808, 461, 924, 193, 649]",26120996
"[526, 353, 624]",,,26120997
,,,26120998
,,,26120999
,,,26121000
"[395, 530]",,,26121001
,,,26121002
"[515, 715]","[529, 639]",[624],26121003
,,,26121004
"[96, 515, 604]","[82, 372, 183, 290]","[624, 193, 26, 903]",26121005
[388],[259],"[193, 28, 920]",26121006
,,,26121007
,,,26121008
"[96, 715, 515, 512, 793]","[692, 372, 808, 924, 229, 180]","[649, 624, 26, 513, 908]",26121009
[796],"[748, 927]","[193, 920, 785]",26121010
"[515, 883, 512]","[259, 480, 692, 924]","[649, 26]",26121011
"[96, 178, 694]",[193],"[924, 908, 808, 624]",26121012
